,"Euro Area, FX Spot Rates, Macrobond, EUR per USD","Japan, FX Spot Rates, Macrobond, JPY per USD","United Kingdom, FX Spot Rates, Macrobond, GBP per USD","Switzerland, FX Spot Rates, Macrobond, CHF per USD","Canada, FX Spot Rates, Macrobond, CAD per USD","Australia, FX Spot Rates, Macrobond, AUD per USD","New Zealand, FX Spot Rates, Macrobond, NZD per USD","Norway, FX Spot Rates, Macrobond, NOK per USD","Sweden, FX Spot Rates, Macrobond, SEK per USD","United States, FX Indices, ICE, U.S. Dollar Index, Close"
1950-10-02,,,,,1.055,,,,,
1950-10-03,,,,,1.05,,,,,
1950-10-04,,,,,1.0525,,,,,
1950-10-05,,,,,1.06,,,,,
1950-10-06,,,,,1.05875,,,,,
1950-10-09,,,,,1.05875,,,,,
1950-10-10,,,,,1.056875,,,,,
1950-10-11,,,,,1.055625,,,,,
1950-10-12,,,,,1.05625,,,,,
1950-10-13,,,,,1.055313,,,,,
1950-10-16,,,,,1.055625,,,,,
1950-10-17,,,,,1.055313,,,,,
1950-10-18,,,,,1.055,,,,,
1950-10-19,,,,,1.054375,,,,,
1950-10-20,,,,,1.0525,,,,,
1950-10-23,,,,,1.049688,,,,,
1950-10-24,,,,,1.049375,,,,,
1950-10-25,,,,,1.05,,,,,
1950-10-26,,,,,1.050625,,,,,
1950-10-27,,,,,1.050625,,,,,
1950-10-30,,,,,1.049375,,,,,
1950-10-31,,,,,1.048125,,,,,
1950-11-01,,,,,1.047188,,,,,
1950-11-02,,,,,1.045625,,,,,
1950-11-03,,,,,1.040625,,,,,
1950-11-06,,,,,1.04,,,,,
1950-11-07,,,,,1.034375,,,,,
1950-11-08,,,,,1.03375,,,,,
1950-11-09,,,,,1.03625,,,,,
1950-11-10,,,,,1.039688,,,,,
1950-11-13,,,,,1.040313,,,,,
1950-11-14,,,,,1.037813,,,,,
1950-11-15,,,,,1.035625,,,,,
1950-11-16,,,,,1.0375,,,,,
1950-11-17,,,,,1.0375,,,,,
1950-11-20,,,,,1.03875,,,,,
1950-11-21,,,,,1.04,,,,,
1950-11-22,,,,,1.039688,,,,,
1950-11-23,,,,,1.04,,,,,
1950-11-24,,,,,1.04,,,,,
1950-11-27,,,,,1.040313,,,,,
1950-11-28,,,,,1.04125,,,,,
1950-11-29,,,,,1.045,,,,,
1950-11-30,,,,,1.048125,,,,,
1950-12-01,,,,,1.048125,,,,,
1950-12-04,,,,,1.048125,,,,,
1950-12-05,,,,,1.0475,,,,,
1950-12-06,,,,,1.048125,,,,,
1950-12-07,,,,,1.04875,,,,,
1950-12-08,,,,,1.048125,,,,,
1950-12-11,,,,,1.049375,,,,,
1950-12-12,,,,,1.050313,,,,,
1950-12-13,,,,,1.050625,,,,,
1950-12-14,,,,,1.050938,,,,,
1950-12-15,,,,,1.051875,,,,,
1950-12-18,,,,,1.054375,,,,,
1950-12-19,,,,,1.05625,,,,,
1950-12-20,,,,,1.058125,,,,,
1950-12-21,,,,,1.056875,,,,,
1950-12-22,,,,,1.0575,,,,,
1950-12-25,,,,,1.0575,,,,,
1950-12-26,,,,,1.058125,,,,,
1950-12-27,,,,,1.059063,,,,,
1950-12-28,,,,,1.059375,,,,,
1950-12-29,,,,,1.059375,,,,,
1951-01-01,,,,,1.059375,,,,,
1951-01-02,,,,,1.055,,,,,
1951-01-03,,,,,1.049375,,,,,
1951-01-04,,,,,1.048125,,,,,
1951-01-05,,,,,1.048438,,,,,
1951-01-08,,,,,1.04875,,,,,
1951-01-09,,,,,1.049063,,,,,
1951-01-10,,,,,1.049375,,,,,
1951-01-11,,,,,1.050313,,,,,
1951-01-12,,,,,1.05125,,,,,
1951-01-15,,,,,1.051875,,,,,
1951-01-16,,,,,1.050625,,,,,
1951-01-17,,,,,1.050938,,,,,
1951-01-18,,,,,1.05125,,,,,
1951-01-19,,,,,1.050313,,,,,
1951-01-22,,,,,1.051875,,,,,
1951-01-23,,,,,1.05375,,,,,
1951-01-24,,,,,1.053125,,,,,
1951-01-25,,,,,1.05375,,,,,
1951-01-26,,,,,1.053438,,,,,
1951-01-29,,,,,1.054063,,,,,
1951-01-30,,,,,1.053438,,,,,
1951-01-31,,,,,1.053125,,,,,
1951-02-01,,,,,1.051563,,,,,
1951-02-02,,,,,1.051875,,,,,
1951-02-05,,,,,1.05125,,,,,
1951-02-06,,,,,1.05125,,,,,
1951-02-07,,,,,1.050625,,,,,
1951-02-08,,,,,1.050625,,,,,
1951-02-09,,,,,1.051875,,,,,
1951-02-12,,,,,1.0525,,,,,
1951-02-13,,,,,1.051875,,,,,
1951-02-14,,,,,1.049375,,,,,
1951-02-15,,,,,1.049375,,,,,
1951-02-16,,,,,1.048438,,,,,
1951-02-19,,,,,1.048125,,,,,
1951-02-20,,,,,1.045937,,,,,
1951-02-21,,,,,1.045937,,,,,
1951-02-22,,,,,1.045312,,,,,
1951-02-23,,,,,1.044687,,,,,
1951-02-26,,,,,1.044687,,,,,
1951-02-27,,,,,1.044375,,,,,
1951-02-28,,,,,1.045312,,,,,
1951-03-01,,,,,1.04625,,,,,
1951-03-02,,,,,1.046562,,,,,
1951-03-05,,,,,1.045,,,,,
1951-03-06,,,,,1.045,,,,,
1951-03-07,,,,,1.0475,,,,,
1951-03-08,,,,,1.047188,,,,,
1951-03-09,,,,,1.046875,,,,,
1951-03-12,,,,,1.045625,,,,,
1951-03-13,,,,,1.045937,,,,,
1951-03-14,,,,,1.045625,,,,,
1951-03-15,,,,,1.045937,,,,,
1951-03-16,,,,,1.04625,,,,,
1951-03-19,,,,,1.045937,,,,,
1951-03-20,,,,,1.045937,,,,,
1951-03-21,,,,,1.047188,,,,,
1951-03-22,,,,,1.04875,,,,,
1951-03-23,,,,,1.04875,,,,,
1951-03-26,,,,,1.04875,,,,,
1951-03-27,,,,,1.05125,,,,,
1951-03-28,,,,,1.050938,,,,,
1951-03-29,,,,,1.049375,,,,,
1951-03-30,,,,,1.049688,,,,,
1951-04-02,,,,,1.051563,,,,,
1951-04-03,,,,,1.05125,,,,,
1951-04-04,,,,,1.051875,,,,,
1951-04-05,,,,,1.053438,,,,,
1951-04-06,,,,,1.054688,,,,,
1951-04-09,,,,,1.055625,,,,,
1951-04-10,,,,,1.057188,,,,,
1951-04-11,,,,,1.058125,,,,,
1951-04-12,,,,,1.058438,,,,,
1951-04-13,,,,,1.059063,,,,,
1951-04-16,,,,,1.059063,,,,,
1951-04-17,,,,,1.06,,,,,
1951-04-18,,,,,1.0625,,,,,
1951-04-19,,,,,1.064063,,,,,
1951-04-20,,,,,1.06375,,,,,
1951-04-23,,,,,1.064375,,,,,
1951-04-24,,,,,1.065,,,,,
1951-04-25,,,,,1.065,,,,,
1951-04-26,,,,,1.065313,,,,,
1951-04-27,,,,,1.066875,,,,,
1951-04-30,,,,,1.067188,,,,,
1951-05-01,,,,,1.063125,,,,,
